timeStart,open,high,low,close,volume
2016-04-17T01:00:00Z,0.0075,0.00755,0.00299998,0.00299998,14.40676735
2016-04-17T02:00:00Z,0.00299996,0.00299998,0.00099996,0.00199979,159.56846831
2016-04-17T03:00:00Z,0.00199983,0.00199983,0.00025,0.00126018,175.57441774
2016-04-17T04:00:00Z,0.00126005,0.00169988,0.00126005,0.00169988,44.3924326
2016-04-17T05:00:00Z,0.0017,0.001999,0.001,0.001,680.28118932
2016-04-17T06:00:00Z,0.00099988,0.001,0.00070011,0.00070011,1348.79429797
2016-04-17T07:00:00Z,0.00079994,0.00079994,0.00070011,0.00079994,4.33149412
2016-04-17T08:00:00Z,0.00079983,0.00125,0.00060004,0.00079998,1234.34943792
2016-04-17T09:00:00Z,0.00079972,0.0015,0.00055001,0.00095,5162.25381797
2016-04-17T10:00:00Z,0.00094,0.000941,0.00060001,0.00074998,4092.3317496
2016-04-17T11:00:00Z,0.00075,0.00075,0.00070001,0.00070003,47.92273095
2016-04-17T12:00:00Z,0.00074994,0.00125,0.0007,0.00089003,4092.12296949
2016-04-17T13:00:00Z,0.00095001,0.00095003,0.00089003,0.00091,178.94778884
2016-04-17T14:00:00Z,0.00085014,0.00091,0.00068,0.00084998,1971.89894073
2016-04-17T15:00:00Z,0.00070001,0.00094781,0.0007,0.0007,1150.33507137
2016-04-17T16:00:00Z,0.00082878,0.00118,0.0007,0.00080008,1054.88588534
2016-04-17T17:00:00Z,0.00110001,0.00110001,0.00080003,0.00080003,231.10572667
2016-04-17T18:00:00Z,0.00088997,0.00089,0.00077996,0.00079001,3734.51349411
2016-04-17T19:00:00Z,0.00079001,0.00106,0.00076439,0.00106,1644.05640203
2016-04-17T20:00:00Z,0.00105993,0.00106,0.00081001,0.00100001,157.05159422
2016-04-17T21:00:00Z,0.00105965,0.00115001,0.00100001,0.00100008,971.85715294
2016-04-17T22:00:00Z,0.00100009,0.00100009,0.00082511,0.001,204.80704863
2016-04-17T23:00:00Z,0.00094999,0.001,0.00084001,0.00089991,157.15576801
2016-04-18T00:00:00Z,0.00084001,0.00089991,0.00070082,0.00081992,2548.67479813
2016-04-18T01:00:00Z,0.00082,0.00148,0.00081992,0.00115,4378.4169691
2016-04-18T02:00:00Z,0.00115,0.00115,0.001,0.001,820.36582756
2016-04-18T03:00:00Z,0.00100001,0.00100001,0.00086176,0.00086176,325.499745
2016-04-18T04:00:00Z,0.00086612,0.00086614,0.00086176,0.00086613,157.0
2016-04-18T05:00:00Z,0.00086613,0.00125,0.00086613,0.00125,2441.66985598
2016-04-18T06:00:00Z,0.0011501,0.00139975,0.0011501,0.00115061,296.34487041
2016-04-18T07:00:00Z,0.00108997,0.00128995,0.00108997,0.00124999,789.2130403
2016-04-18T08:00:00Z,0.00124999,0.0016999,0.00124999,0.00169982,3845.0934114
2016-04-18T09:00:00Z,0.00160001,0.002,0.0015,0.002,5306.40473989
2016-04-18T10:00:00Z,0.00199998,0.002,0.00189999,0.00189999,2529.63265271
2016-04-18T11:00:00Z,0.0017144,0.00189999,0.00161573,0.00187306,1726.90389261
2016-04-18T12:00:00Z,0.00166004,0.00187306,0.00150442,0.00167,552.46239034
2016-04-18T13:00:00Z,0.00167,0.00167,0.00167,0.00167,72.64446937
2016-04-18T14:00:00Z,0.00167001,0.00174842,0.00167,0.00174842,259.40430917
2016-04-18T15:00:00Z,0.0017495,0.0018,0.00151007,0.00151074,1235.45163173
2016-04-18T16:00:00Z,0.00151106,0.00194,0.00150443,0.00194,2226.81276864
2016-04-18T17:00:00Z,0.00194,0.00194026,0.00180048,0.00181066,405.74614473
2016-04-18T18:00:00Z,0.00181066,0.00184931,0.0017,0.00183601,2125.73714841
2016-04-18T19:00:00Z,0.00182958,0.00248999,0.00182957,0.0024,3381.96380195
2016-04-18T20:00:00Z,0.0024,0.00248924,0.00215,0.00215,507.12230813
2016-04-18T21:00:00Z,0.00229968,0.0024,0.00215,0.0022018,666.28495398
2016-04-18T22:00:00Z,0.00220197,0.0024,0.00195,0.00195,4632.65948172
2016-04-18T23:00:00Z,0.0019501,0.00209483,0.00194999,0.00204783,258.91025045
2016-04-19T00:00:00Z,0.00204754,0.0022,0.00200001,0.00219995,475.51137722
2016-04-19T01:00:00Z,0.00219999,0.00219999,0.002,0.002,637.02587285
2016-04-19T02:00:00Z,0.00209599,0.00221968,0.002,0.00221968,251.43998435
2016-04-19T03:00:00Z,0.00221501,0.00221968,0.00190001,0.00190001,4740.43883318
2016-04-19T04:00:00Z,0.00190001,0.00190006,0.00190001,0.00190005,702.0
2016-04-19T05:00:00Z,0.00209038,0.0022,0.00190005,0.00198,346.95702784
2016-04-19T06:00:00Z,0.00198001,0.00198001,0.00192316,0.00192316,1288.24295102
2016-04-19T07:00:00Z,0.00192316,0.00192316,0.00192316,0.00192316,5.08191067
2016-04-19T08:00:00Z,0.00193005,0.00193005,0.00191758,0.00191758,1533.13126361
2016-04-19T09:00:00Z,0.00190839,0.00195969,0.0019,0.00195969,1631.34387106
2016-04-19T10:00:00Z,0.00195969,0.00195969,0.00187124,0.00187124,463.70995531
2016-04-19T11:00:00Z,0.00191916,0.00195835,0.00160004,0.0018754,3089.89339969
2016-04-19T12:00:00Z,0.0019,0.0019,0.00180117,0.00180189,199.95901879
2016-04-19T13:00:00Z,0.00189999,0.0019,0.00180189,0.00180511,2541.13357041
2016-04-19T14:00:00Z,0.00189399,0.00191,0.00180511,0.00190999,433.59977882
2016-04-19T15:00:00Z,0.00182269,0.00190999,0.0018,0.0018,1239.04088326
